,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct,long,lat
355,381825,SSS CPE97 Summer 18 August,2018-08-15T09:00:00+00:00,2018-08-15T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
356,381825,SSS CPE97 Summer 18 August,2018-08-16T09:00:00+00:00,2018-08-16T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
357,381825,SSS CPE97 Summer 18 August,2018-08-17T09:00:00+00:00,2018-08-17T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
358,381825,SSS CPE97 Summer 18 August,2018-08-20T09:00:00+00:00,2018-08-20T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
359,381825,SSS CPE97 Summer 18 August,2018-08-21T09:00:00+00:00,2018-08-21T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
360,381825,SSS CPE97 Summer 18 August,2018-08-22T09:00:00+00:00,2018-08-22T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
361,381825,SSS CPE97 Summer 18 August,2018-08-23T09:00:00+00:00,2018-08-23T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
362,381825,SSS CPE97 Summer 18 August,2018-08-24T09:00:00+00:00,2018-08-24T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
363,381825,SSS CPE97 Summer 18 August,2018-08-27T09:00:00+00:00,2018-08-27T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
364,381825,SSS CPE97 Summer 18 August,2018-08-28T09:00:00+00:00,2018-08-28T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
365,381825,SSS CPE97 Summer 18 August,2018-08-29T09:00:00+00:00,2018-08-29T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
366,381825,SSS CPE97 Summer 18 August,2018-08-30T09:00:00+00:00,2018-08-30T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
367,381825,SSS CPE97 Summer 18 August,2018-08-31T09:00:00+00:00,2018-08-31T13:00:00+00:00,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,64,22,-73.9651107,40.7915192
368,381837,September 11 commemoration ceremony,2018-09-09T16:00:00+00:00,2018-09-09T18:00:00+00:00,Parks Department,Special Event,Brooklyn,Asser Levy Park: Asser Levy Park,,,13,60,-73.9713897,40.5751863
369,381841,Movies Under the Stars,2018-09-04T20:30:00+00:00,2018-09-04T22:30:00+00:00,Parks Department,Special Event,Manhattan,Washington Market Park: Center Lawn,,,1,1,-74.011467,40.7169743
370,400318,Tai Chi,2018-09-04T07:30:00+00:00,2018-09-04T08:30:00+00:00,Parks Department,Special Event,Manhattan,Bryant Park: Fountain Terrace,,,5,14,-73.9853115,40.7539141
371,381849,Mystic Vybes Productions In The Park,2018-08-18T13:00:00+00:00,2018-08-18T18:00:00+00:00,Parks Department,Special Event,Manhattan,East River Park: Amphitheater,,,3,7,-73.9777869,40.7111166
372,381860,B-SIDE MUSIC,2018-09-08T15:00:00+00:00,2018-09-08T19:00:00+00:00,Parks Department,Special Event,Brooklyn,Coney Island Beach & Boardwalk: W 16 St Performance Area,,,13,60,-73.9787857,40.5726046
373,381893,SSS PNL Summer18,2018-08-11T09:00:00+00:00,2018-08-11T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
374,381893,SSS PNL Summer18,2018-08-12T09:00:00+00:00,2018-08-12T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
375,381893,SSS PNL Summer18,2018-08-13T09:00:00+00:00,2018-08-13T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
376,381893,SSS PNL Summer18,2018-08-14T09:00:00+00:00,2018-08-14T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
377,381893,SSS PNL Summer18,2018-08-15T09:00:00+00:00,2018-08-15T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
378,381893,SSS PNL Summer18,2018-08-16T09:00:00+00:00,2018-08-16T13:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Nellie's Lawn,,,55,78,-73.9679945,40.6674966
