,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct
4402,419950,Outside recreation,2018-08-13T10:00:00+00:00,2018-08-13T18:00:00+00:00,Parks Department,Special Event,Staten Island,Midland Field: Midland Field,,,2,122
4403,419950,Outside recreation,2018-08-14T10:00:00+00:00,2018-08-14T18:00:00+00:00,Parks Department,Special Event,Staten Island,Midland Field: Midland Field,,,2,122
4404,419950,Outside recreation,2018-08-15T10:00:00+00:00,2018-08-15T18:00:00+00:00,Parks Department,Special Event,Staten Island,Midland Field: Midland Field,,,2,122
4405,419950,Outside recreation,2018-08-16T10:00:00+00:00,2018-08-16T18:00:00+00:00,Parks Department,Special Event,Staten Island,Midland Field: Midland Field,,,2,122
4406,419950,Outside recreation,2018-08-17T10:00:00+00:00,2018-08-17T18:00:00+00:00,Parks Department,Special Event,Staten Island,Midland Field: Midland Field,,,2,122
4407,419952,Picnic,2018-08-11T12:00:00+00:00,2018-08-11T16:00:00+00:00,Parks Department,Special Event,Queens,Alley Pond Park: Alley Springfield BBQ Area White,,,11,111
4408,419959,Picnic,2018-08-12T14:00:00+00:00,2018-08-12T17:00:00+00:00,Parks Department,Special Event,Manhattan,Inwood Hill Park: Payson Playground,,,12,34
4409,419962,ODWYER FAMILY DAY,2018-08-11T12:00:00+00:00,2018-08-11T19:00:00+00:00,Street Activity Permit Office,Block Party,Brooklyn,WEST 33 STREET between MERMAID AVENUE and SURF AVENUE,Full,Full Street Closure,13,60
4410,419997,Miscellaneous,2018-08-13T10:00:00+00:00,2018-08-13T16:00:00+00:00,Parks Department,Special Event,Queens,Judge Moses Weinstein Playground / Vleigh Plgd.: Judge Moses Weinstein Playground,,,8,107
4411,419997,Miscellaneous,2018-08-16T10:00:00+00:00,2018-08-16T16:00:00+00:00,Parks Department,Special Event,Queens,Judge Moses Weinstein Playground / Vleigh Plgd.: Judge Moses Weinstein Playground,,,8,107
4412,420048,Barbecue,2018-08-25T12:00:00+00:00,2018-08-25T19:00:00+00:00,Parks Department,Special Event,Manhattan,Morningside Park: West 110th BBQ Area A,,,9,26
4413,420052,East 37th Street Annual Block Party,2018-08-12T10:00:00+00:00,2018-08-12T18:00:00+00:00,Street Activity Permit Office,Block Party,Brooklyn,EAST 37 STREET between AVENUE I and AVENUE J,Full,Full Street Closure,18,63
4414,420074,Aviston Street Block Party,2018-08-25T12:00:00+00:00,2018-08-25T21:00:00+00:00,Street Activity Permit Office,Block Party,Staten Island,AVISTON STREET between RIGA STREET and AMHERST AVENUE,Full,Full Street Closure,3,122
4415,420077,Block Party,2018-08-18T12:00:00+00:00,2018-08-18T21:00:00+00:00,Street Activity Permit Office,Block Party,Queens,126 STREET between LINDEN BOULEVARD and 111 AVENUE,Full,Full Street Closure,10,106
4416,420087,Celebration,2018-08-16T09:30:00+00:00,2018-08-16T11:30:00+00:00,Parks Department,Special Event,Manhattan,Central Park: Ladies' Pavilion,,,64,22
4417,420137,Celebration,2018-08-26T16:00:00+00:00,2018-08-26T19:30:00+00:00,Parks Department,Special Event,Brooklyn,Herbert Von King Park: Amphitheater,,,3,79
4418,420165,Miscellaneous,2018-08-13T11:00:00+00:00,2018-08-13T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Scarangella Park: Soccer-01 ,Scarangella Park: Jogging Path-Track-01",,,13,60
4419,420165,Miscellaneous,2018-08-14T11:00:00+00:00,2018-08-14T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Scarangella Park: Soccer-01 ,Scarangella Park: Jogging Path-Track-01",,,13,60
4420,420165,Miscellaneous,2018-08-15T11:00:00+00:00,2018-08-15T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Scarangella Park: Soccer-01 ,Scarangella Park: Jogging Path-Track-01",,,13,60
